                        ReAV    ReAIV   EcAI    EcAII   EcAIII
Firmicutes_E            8       23      2       23      9       
UBA6262                 0       0       0       0       0       
UBA10199                0       0       1       2       0       
NPL-UPA2                0       0       0       0       0       
KSB1                    0       7       10      15      21      
DTU030                  1       9       4       1       0       
Aquificota              0       0       1       0       1       
Zixibacteria            10      16      3       11      9       
T1Sed10-126             0       0       0       0       0       
Firmicutes_A            105     119     1900    505     197     
Nitrospinota_B          0       0       0       0       0       
Aerophobota             0       0       0       0       3       
Wallbacteria            0       0       3       0       0       
Marinisomatota          44      33      36      56      113     
Eremiobacterota         0       42      4       14      6       
B130-G9                 0       0       0       0       0       
Thermosulfidibacterota  0       0       0       0       0       
Planctomycetota         10      80      150     84      538     
UBP13                   0       0       0       0       0       
Krumholzibacteriota     0       0       14      13      18      
Poribacteria            2       5       0       0       7       
Chlamydiota             1       0       1       6       1       
Fusobacteriota          0       0       56      0       26      
Synergistota            0       2       54      67      1       
Riflebacteria           0       0       10      5       0       
Firmicutes_G            4       24      3       7       13      
Calditrichota           0       0       14      3       16      
Gemmatimonadota_A       0       0       1       0       0       
SLNR01                  0       1       0       0       0       
Desulfobacterota        4       17      68      215     42      
Hydrogenedentota        0       0       1       0       7       
Firmicutes_C            5       27      66      239     1       
Desulfobacterota_B      0       0       0       30      28      
Coprothermobacterota    3       2       0       0       0       
UBP4                    0       0       0       0       0       
Omnitrophota            0       0       0       5       2       
QNDG01                  0       0       1       3       5       
WOR-3                   0       0       4       11      39      
CSP1-3                  0       3       1       3       1       
Nitrospirota            0       1       2       2       101     
Firmicutes_F            0       17      4       7       0       
Chloroflexota           87      232     40      238     287     
UBP17                   0       0       2       0       1       
UBA3054                 0       0       0       0       0       
Proteobacteria          393     2914    4101    6535    5319    
Bdellovibrionota        18      52      103     17      33      
Firmicutes_D            3       20      2       6       0       
CG2-30-53-67            0       0       0       0       0       
TA06                    0       0       0       0       2       
Campylobacterota        2       1       83      379     31      
AABM5-125-24            0       3       2       4       2       
SZUA-79                 0       0       0       0       0       
Methylomirabilota       0       0       1       14      39      
UBP7_A                  0       0       0       0       0       
Firmicutes              386     320     427     2276    306     
RBG-13-66-14            0       0       0       1       2       
Desantisbacteria        0       0       0       2       0       
UBA8481                 0       0       0       0       0       
Gemmatimonadota         46      114     41      106     227     
Delongbacteria          0       0       1       6       7       
Aureabacteria_A         0       0       0       0       0       
Chrysiogenetota         0       0       0       0       0       
UBP18                   0       0       0       0       0       
UBP15                   0       0       0       0       0       
Nitrospinota_A          0       0       0       3       0       
Fibrobacterota          0       0       3       47      1       
Cloacimonadota          2       0       5       47      2       
Schekmanbacteria        0       0       0       0       0       
Bdellovibrionota_C      0       1       4       0       13      
Spirochaetota           2       4       186     50      24      
Abyssubacteria          0       0       0       0       0       
T1SED10-198M            0       0       0       0       0       
Verrucomicrobiota       1       3       53      126     256     
Lindowbacteria          0       0       0       0       0       
Dormibacterota          4       30      0       3       43      
Caldatribacteriota      1       1       10      0       11      
JABDJQ01                0       1       0       0       0       
Margulisbacteria        0       0       0       3       0       
Sumerlaeota             0       0       0       0       2       
Acidobacteriota         12      73      174     205     753     
SpSt-318                0       0       0       0       0       
UBA9089                 0       0       1       0       0       
SpSt-956                0       0       1       0       0       
JACIXR01                0       0       0       0       0       
Mcinerneyibacteriota    0       1       0       2       0       
Firmicutes_H            3       8       0       8       0       
CG2-30-70-394           0       0       0       0       0       
UBP6                    0       0       7       0       0       
Edwardsbacteria         0       0       3       6       0       
Caldisericota           0       2       0       2       10      
DUMJ01                  0       0       0       0       4       
TA06_A                  0       0       0       0       1       
DSWW01                  0       0       0       0       0       
SAR324                  0       7       2       9       13      
Nitrospinota            0       0       0       0       13      
Fermentibacterota       0       0       2       21      0       
Deinococcota            47      31      17      72      48      
Deferribacterota        0       0       1       1       0       
Desulfobacterota_D      0       0       0       0       1       
Firmicutes_B            17      44      22      32      19      
Actinobacteriota        175     4144    715     2458    336     
Cyanobacteria           656     521     14      63      470     
ARS69                   0       1       0       0       0       
Myxococcota             27      61      194     53      207     
Eisenbacteria           4       11      4       4       5       
UBP7                    0       0       0       0       3       
Thermodesulfobiota      0       0       0       2       0       
BMS3Abin14              0       0       0       0       0       
Aureabacteria           0       0       0       0       0       
OLB16                   0       0       0       0       2       
RBG-13-61-14            0       0       0       0       0       
Firestonebacteria       0       0       0       0       0       
Goldbacteria            0       0       0       0       0       
SM23-31                 0       0       0       0       1       
FCPU426                 0       0       0       0       0       
Bacteroidota            2       44      4895    1154    5682    
Bipolaricaulota         0       0       2       5       1       
Desulfobacterota_E      0       0       0       0       0       
Elusimicrobiota         0       0       10      37      4       
Armatimonadota          4       17      3       4       81      
Dictyoglomota           0       0       0       0       0       
Calescibacterota        0       0       0       0       0       
SpSt-1050               0       0       0       1       0       
Tectomicrobia           0       0       1       4       1       
GCA-001730085           0       0       0       0       0       
CLD3                    0       1       3       1       3       
Desulfobacterota_F      0       0       7       23      3       
UBP14                   0       0       0       2       0       
Ratteibacteria          0       0       0       0       0       
DQWO01                  0       0       0       0       0       
RUG730                  0       0       0       0       0       
JABMQX01                0       0       0       0       0       
Patescibacteria         0       0       197     61      7       
J088                    0       0       0       0       0       
FEN-1099                0       0       0       0       1       
CSSED10-310             0       0       0       1       0       
SZUA-182                0       0       0       0       0       
Nitrospirota_A          0       0       0       0       5       
Moduliflexota           0       0       2       2       1       
4572-55                 0       0       0       2       1       
CAIJMQ01                0       0       0       0       0       
Dependentiae            0       0       0       0       0       
Desulfobacterota_G      0       0       0       5       4       
Latescibacterota        0       0       0       0       27      
Muirbacteria            0       0       1       0       0       
CG03                    0       0       1       1       0       
UBA2233                 0       0       0       0       0       
Thermotogota            0       0       0       42      21      
Desulfobacterota_C      0       4       2       2       0     
