pfam==1 or query_coverage>=50
                        ReAV    ReAIV   EcAI    EcAII   EcAIII
CLD3                    0       1       3       1       3       
Zixibacteria            10      16      3       11      9       
Bipolaricaulota         0       0       2       5       1       
GCA-001730085           0       0       0       0       0       
Desulfobacterota_F      0       0       7       23      3       
Firmicutes_G            4       24      3       7       13      
Desulfobacterota_C      0       4       2       2       0       
DQWO01                  0       0       0       0       0       
Firmicutes_F            0       17      4       7       0       
Eisenbacteria           4       11      4       4       5       
SpSt-956                0       0       1       0       0       
DTU030                  1       9       4       1       0       
Nitrospirota_A          0       0       0       0       5       
TA06_A                  0       0       0       0       1       
Dependentiae            0       0       0       0       0       
Chloroflexota           87      232     40      238     287     
UBA9089                 0       0       1       0       0       
UBP14                   0       0       0       2       0       
Moduliflexota           0       0       2       2       1       
RBG-13-61-14            0       0       0       0       0       
Schekmanbacteria        0       0       0       0       0       
UBA2233                 0       0       0       0       0       
Dormibacterota          4       30      0       3       43      
UBA10199                0       0       1       2       0       
FEN-1099                0       0       0       0       1       
Krumholzibacteriota     0       0       14      13      18      
Desulfobacterota_D      0       0       0       0       1       
JABMQX01                0       0       0       0       0       
SpSt-318                0       0       0       0       0       
Calditrichota           0       0       14      3       16      
Dictyoglomota           0       0       0       0       0       
Fusobacteriota          0       0       56      0       26      
CG2-30-70-394           0       0       0       0       0       
Nitrospinota_A          0       0       0       3       0       
Gemmatimonadota         46      114     41      106     227     
Actinobacteriota        175     4144    715     2458    336     
Chrysiogenetota         0       0       0       0       0       
KSB1                    0       7       10      15      21      
Edwardsbacteria         0       0       3       6       0       
Verrucomicrobiota       1       3       53      126     256     
SLNR01                  0       1       0       0       0       
J088                    0       0       0       0       0       
Chlamydiota             1       0       1       6       1       
Aureabacteria           0       0       0       0       0       
Elusimicrobiota         0       0       10      37      4       
Aerophobota             0       0       0       0       3       
CSP1-3                  0       3       1       3       1       
Desantisbacteria        0       0       0       2       0       
SpSt-1050               0       0       0       1       0       
Caldisericota           0       2       0       2       10      
DSWW01                  0       0       0       0       0       
Firmicutes_H            3       8       0       8       0       
Synergistota            0       2       54      67      1       
Hydrogenedentota        0       0       1       0       7       
Thermosulfidibacterota  0       0       0       0       0       
Latescibacterota        0       0       0       0       27      
Aquificota              0       0       1       0       1       
B130-G9                 0       0       0       0       0       
Delongbacteria          0       0       1       6       7       
Caldatribacteriota      1       1       10      0       11      
Marinisomatota          44      33      36      56      113     
Sumerlaeota             0       0       0       0       2       
AABM5-125-24            0       3       2       4       2       
T1SED10-198M            0       0       0       0       0       
UBP13                   0       0       0       0       0       
Firmicutes_E            8       23      2       23      9       
UBP18                   0       0       0       0       0       
Myxococcota             27      61      194     53      207     
UBP7                    0       0       0       0       3       
RBG-13-66-14            0       0       0       1       2       
Ratteibacteria          0       0       0       0       0       
Firmicutes              386     320     427     2276    306     
Methylomirabilota       0       0       1       14      39      
DUMJ01                  0       0       0       0       4       
UBP7_A                  0       0       0       0       0       
Firmicutes_D            3       20      2       6       0       
Fermentibacterota       0       0       2       21      0       
Firmicutes_B            17      44      22      32      19      
TA06                    0       0       0       0       2       
Planctomycetota         10      80      150     84      538     
Desulfobacterota        4       17      68      215     42      
Firestonebacteria       0       0       0       0       0       
Thermodesulfobiota      0       0       0       2       0       
Desulfobacterota_B      0       0       0       30      28      
SM23-31                 0       0       0       0       1       
CG2-30-53-67            0       0       0       0       0       
Abyssubacteria          0       0       0       0       0       
FCPU426                 0       0       0       0       0       
CAIJMQ01                0       0       0       0       0       
CG03                    0       0       1       1       0       
OLB16                   0       0       0       0       2       
Spirochaetota           2       4       186     50      24      
Omnitrophota            0       0       0       5       2       
Campylobacterota        2       1       83      379     31      
Coprothermobacterota    3       2       0       0       0       
SZUA-79                 0       0       0       0       0       
Cyanobacteria           656     521     14      63      470     
Nitrospinota_B          0       0       0       0       0       
Cloacimonadota          2       0       5       47      2       
Deinococcota            47      31      17      72      48      
SZUA-182                0       0       0       0       0       
Wallbacteria            0       0       3       0       0       
Muirbacteria            0       0       1       0       0       
T1Sed10-126             0       0       0       0       0       
Armatimonadota          4       17      3       4       81      
Goldbacteria            0       0       0       0       0       
Thermotogota            0       0       0       42      21      
UBA8481                 0       0       0       0       0       
4572-55                 0       0       0       2       1       
NPL-UPA2                0       0       0       0       0       
Nitrospinota            0       0       0       0       13      
Deferribacterota        0       0       1       1       0       
ARS69                   0       1       0       0       0       
Bacteroidota            2       44      4895    1154    5682    
Eremiobacterota         0       42      4       14      6       
Mcinerneyibacteriota    0       1       0       2       0       
UBA6262                 0       0       0       0       0       
UBP15                   0       0       0       0       0       
Bdellovibrionota        18      52      103     17      33      
Proteobacteria          393     2914    4101    6535    5319    
Bdellovibrionota_C      0       1       4       0       13      
Riflebacteria           0       0       10      5       0       
Nitrospirota            0       1       2       2       101     
UBP17                   0       0       2       0       1       
SAR324                  0       7       2       9       13      
UBP4                    0       0       0       0       0       
JABDJQ01                0       1       0       0       0       
UBP6                    0       0       7       0       0       
BMS3Abin14              0       0       0       0       0       
Gemmatimonadota_A       0       0       1       0       0       
CSSED10-310             0       0       0       1       0       
Poribacteria            2       5       0       0       7       
Firmicutes_A            105     119     1900    505     197     
Tectomicrobia           0       0       1       4       1       
QNDG01                  0       0       1       3       5       
WOR-3                   0       0       4       11      39      
Aureabacteria_A         0       0       0       0       0       
RUG730                  0       0       0       0       0       
Calescibacterota        0       0       0       0       0       
Lindowbacteria          0       0       0       0       0       
Firmicutes_C            5       27      66      239     1       
Desulfobacterota_G      0       0       0       5       4       
Fibrobacterota          0       0       3       47      1       
Acidobacteriota         12      73      174     205     753     
